Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C23, C24, C26, C3",0603,6,0.1u,C14663
"C10, C11, C6, C7, C8, C9",1206,6,10u,C13585
"C12, C13",1206,2,4.7u,C29823
C14,CP_Elec_6.3x7.7,1,100uF,C3338
C22,0603,1,1u, C15849
"CN1, CN2",AMASS_XT30U-M_1x02_P5.0mm_Vertical,2,XT30-M,C428721
"CN3, CN4, CN5, CN6",AMASS_XT30U-F_1x02_P5.0mm_Vertical,4,XT30-F,C108769
"D10, D6, D8, D9",0603,4,LED, C510027
"D2, D3, D4",D_TUMD2,3,LMBR140ET1G,C172430
FB1,0805,1,BLM21PG221SN,C85840
"J10, J13, J14, J5, J6, J7, J8, J9",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,8,CAN3, C189893
"Q2, Q4, Q5, Q6",SOT-323_SC-70,4,DDTC114EUA-7-F,C177021
R10,0603,1,220R,C22962
"R11, R12, R13",0805,3,4.7k,C17673
"R14, R16, R5, R7",0603,4,3.3k,C4109
"R2, R3, R4",1206,3,120R,C17909
"R39, R47, R48, R49, R50, R51, R52, R53",0603,8,10k, C25804
"R8, R9",0603,2,1k,C21190
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm,1,SW_DIP_x04,C40736 
"U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,3,TCAN1042HVDR,C485807
U6,MFSOP6-4_4.4x3.6mm_P1.27mm,1,TLP172AM,C2152276
U7,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 k,C32346
"ZD1, ZD10, ZD11, ZD6, ZD7, ZD8, ZD9",D_SOD-523,7,ESD5Z7.0T1G,C133093
"ZD3, ZD4, ZD5",SOT-23,3,NUP2105L,C14486
