Designator,Mid X,Mid Y,Rotation,Layer
C1,35.0,41.025,270.0,top
C10,41.655,11.5,180.0,top
C11,50.9,11.8,0.0,top
C12,8.85,17.1,180.0,top
C13,14.065,5.012,180.0,top
C14,17.0,20.79,270.0,top
C2,20.048,4.29,90.0,top
C22,33.92,65.53,0.0,top
C23,23.858,64.558,0.0,top
C24,23.763,67.06,0.0,top
C26,29.0475,62.29,180.0,top
C3,27.8,7.909,270.0,top
C6,16.975,35.6,0.0,top
C7,9.075,35.64,180.0,top
C8,43.4,3.39,0.0,top
C9,50.2,3.3,0.0,top
CN1,3.0,15.476,90.0,top
CN2,49.875,38.0,180.0,top
CN3,49.85,44.45,180.0,top
CN4,49.8,50.8,180.0,top
CN5,49.85,57.15,180.0,top
CN6,49.8,63.5,180.0,top
D10,15.3925,44.44,180.0,top
D2,12.35,35.74,270.0,top
D3,46.8,2.59,270.0,top
D4,47.62,11.76,270.0,top
D6,11.3865,1.202,0.0,top
D8,15.35,48.19,180.0,top
D9,15.3925,46.24,180.0,top
FB1,17.2,2.89,180.0,top
J10,56.5,16.775,270.0,top
J13,56.5,24.0,270.0,top
J14,56.5,31.115,270.0,top
J5,3.5,36.49,90.0,top
J6,3.45,44.115,90.0,top
J7,3.5,51.74,90.0,top
J8,3.5,59.365,90.0,top
J9,56.5,9.66,270.0,top
Q2,47.85,23.4,180.0,top
Q4,19.0,48.84,180.0,top
Q5,19.0,46.24,180.0,top
Q6,19.0,43.64,180.0,top
R10,45.05,23.575,90.0,top
R11,27.65,17.3275,90.0,top
R12,25.9,21.615,90.0,top
R13,28.275,24.99,90.0,top
R14,12.0425,46.315,0.0,top
R16,12.055,44.44,0.0,top
R2,8.05,39.575,270.0,top
R3,52.0,7.29,90.0,top
R39,33.925,67.07,0.0,top
R4,51.89,15.625,90.0,top
R47,31.37,61.585,90.0,top
R48,38.4018,66.77,270.0,top
R49,36.8318,65.19,270.0,top
R5,13.698,2.027,270.0,top
R50,40.65,33.325,90.0,top
R51,42.183333,33.325,90.0,top
R52,43.716667,33.325,90.0,top
R53,45.25,33.325,90.0,top
R7,12.075,48.19,0.0,top
R8,14.5,51.19,90.0,top
R9,12.0,51.215,90.0,top
SW1,49.57,29.5,270.0,top
U2,17.0,39.64,90.0,top
U3,43.0,7.39,270.0,top
U4,42.99,15.56,270.0,top
U6,41.72,22.5,270.0,top
U7,30.0725,66.82,90.0,top
Y2,26.57,65.81,270.0,top
ZD1,25.2,7.984,270.0,top
ZD10,50.35,23.4,90.0,top
ZD11,29.1225,60.8,180.0,top
ZD3,11.2375,39.6625,0.0,top
ZD4,48.7625,7.34,180.0,top
ZD5,48.7525,15.53,180.0,top
ZD6,18.55,32.55,90.0,top
ZD7,20.05,33.39,270.0,top
ZD8,9.55,61.49,180.0,top
ZD9,13.45,61.49,0.0,top
